연도,월,측정소명,오존(O3),미세먼지(PM10),초미세먼지(PM2점5)
2022,1,동상동,0.024,38,22
2022,1,삼방동,0.025,29,15
2022,1,장유동,0.022,31,21
2022,1,진영읍,0.019,36,24
2022,1,김해대로,0.019,32,21
2022,2,동상동,0.035,35,20
2022,2,삼방동,0.035,27,14
2022,2,장유동,0.035,31,19
2022,2,진영읍,0.032,33,21
2022,2,김해대로,0.03,29,18
2022,3,동상동,0.035,41,21
2022,3,삼방동,0.038,35,16
2022,3,장유동,0.034,35,18
2022,3,진영읍,0.033,40,22
2022,3,김해대로,0.03,34,19
2022,4,동상동,0.039,33,15
2022,4,삼방동,0.042,27,12
2022,4,장유동,0.038,30,15
2022,4,진영읍,0.038,34,18
2022,4,김해대로,0.034,29,15
2022,5,동상동,0.05,30,16
2022,5,삼방동,0.053,27,14
2022,5,장유동,0.049,30,18
2022,5,진영읍,0.051,37,21
2022,5,김해대로,0.046,31,18
2022,6,동상동,0.034,17,9
2022,6,삼방동,0.038,13,7
2022,6,장유동,0.031,18,11
2022,6,진영읍,0.037,21,13
2022,6,김해대로,0.032,20,11
2022,7,동상동,0.034,21,14
2022,7,삼방동,0.039,16,8
2022,7,장유동,0.033,23,15
2022,7,진영읍,0.035,27,16
2022,7,김해대로,0.029,25,16
2022,8,동상동,0.03,19,11
2022,8,삼방동,0.033,16,10
2022,8,장유동,0.028,23,13
2022,8,진영읍,0.03,24,13
2022,8,김해대로,0.026,24,14
2022,9,동상동,0.035,19,13
2022,9,삼방동,0.037,14,8
2022,9,장유동,0.028,21,12
2022,9,진영읍,0.027,23,12
2022,9,김해대로,0.028,21,12
2022,10,동상동,0.033,21,16
2022,10,삼방동,0.035,18,9
2022,10,장유동,0.028,21,12
2022,10,진영읍,0.026,24,14
2022,10,김해대로,0.026,21,12
2022,11,동상동,0.028,36,24
2022,11,삼방동,0.03,32,17
2022,11,장유동,0.024,34,20
2022,11,진영읍,0.02,42,24
2022,11,김해대로,0.02,34,21
2022,12,동상동,0.025,33,21
2022,12,삼방동,0.024,29,16
2022,12,장유동,0.022,32,16
2022,12,진영읍,0.017,35,20
2022,12,김해대로,0.02,28,17
2023,1,동상동,0.027,40,23
2023,1,삼방동,0.024,38,18
2023,1,장유동,0.023,39,18
2023,1,진영읍,0.019,42,23
2023,1,김해대로,0.02,34,20
2023,2,동상동,0.032,38,24
2023,2,삼방동,0.03,27,19
2023,2,장유동,0.026,35,19
2023,2,진영읍,0.024,37,24
2023,2,김해대로,0.023,34,23
2023,3,동상동,0.0414,56,24
2023,3,삼방동,0.0405,45,19
2023,3,장유동,0.035,53,20
2023,3,진영읍,0.0347,57,23
2023,3,김해대로,0.0317,56,27
2023,4,동상동,0.044,61,18
2023,4,삼방동,0.046,55,14
2023,4,장유동,0.041,55,16
2023,4,진영읍,0.038,62,19
2023,4,김해대로,0.038,60,21
2023,5,동상동,0.0392,34,17
2023,5,삼방동,0.0462,29,12
2023,5,장유동,0.0389,33,16
2023,5,진영읍,0.039,36,18
2023,5,김해대로,0.0371,38,19
2023,6,동상동,0.0431,24,16
